"query","search interest","increase percent"
"tallaght square",100,"20%"
"square tallaght",99,"20%"
"tallaght hospital",84,"-30%"
"tallaght stadium",64,"250%"
"the square tallaght",64,"20%"
"weather tallaght",49,"20%"
"tallaght weather",45,"3%"
"cinema tallaght",40,"20%"
"tallaght cinema",38,"20%"
"tallaght library",20,"100%"
"maldron hotel tallaght",15,"4%"
"credit union tallaght",14,"-20%"
"smyths tallaght",13,"-7%"
"dominos",12,"400%"
"tallaght university hospital",12,"-9%"
"specsavers tallaght",12,"250%"
"weather in tallaght",11,"-4%"
"rip tallaght",10,"-40%"
"cinema tallaght square",10,"30%"
"tallaght theatre",10,"-20%"
"plaza hotel tallaght",10,"50%"
"tud tallaght",9,"-40%"
"tallaght credit union",8,"-60%"
"woodies tallaght",8,"-30%"
"old mill tallaght",7,"200%"
"harvey norman tallaght",7,"9%"
"civic theatre tallaght",7,"-30%"
"darius tallaght",7,"40%"
"affidea tallaght",7,"-60%"
"dominos tallaght",7,"20%"
"tallaght hospital jobs",7,"-40%"
"houses for sale tallaght",6,"50%"
"tallaght garda station",6,"-30%"
"homesavers tallaght",6,"250%"
"vue liffey valley",6,"Breakout"
"cex tallaght",6,"140%"
"tallaght sports complex",6,"100%"
"tallaght stadium capacity",6,"200%"
"tallaght west credit union",6,"-20%"
"musashi tallaght",6,"-5%"
"anjappar tallaght",5,"170%"
"tallaght leisure centre",5,"-50%"
"leisureplex tallaght",5,"110%"
"b&q tallaght",5,"-20%"
"tallaght echo",5,"10%"
"part time jobs tallaght",5,"120%"
"dominics tallaght",5,"-30%"
"imc tallaght",5,"130%"
"the square tallaght cinema",5,"10%"
"movies at tallaght",5,"-3%"